date,action,query
2024-12-02T21:18:41.962Z,search,example_query
2024-12-02T21:18:41.971Z,search,example_query
2024-12-02T21:19:23.497Z,search,
2024-12-02T21:19:23.510Z,search,
2024-12-02T21:20:43.219Z,search,
2024-12-02T21:20:43.233Z,search,
2024-12-02T21:21:13.660Z,search,
2024-12-02T21:21:13.674Z,search,
2024-12-02T21:21:36.544Z,search,yo
2024-12-02T21:21:36.556Z,search,yo
2024-12-02T21:30:40.550Z,Para-ti
2024-12-02T21:30:40.554Z,Nuevo
2024-12-02T21:30:40.579Z,Para-ti
2024-12-02T21:30:40.580Z,Nuevo
2024-12-02T21:31:29.178Z,Para-ti
2024-12-02T21:31:29.182Z,Nuevo
2024-12-02T21:31:29.198Z,Para-ti
2024-12-02T21:31:29.199Z,Nuevo
2024-12-02T21:34:58.910Z,Don Quijote
2024-12-02T21:34:58.922Z,Don Quijote
2024-12-02T21:36:29.507Z,Para-ti
2024-12-02T21:36:29.508Z,Nuevo
2024-12-02T21:36:29.523Z,Para-ti
2024-12-02T21:36:29.523Z,Nuevo
2024-12-02T21:39:50.886Z,Nuevo
2024-12-02T21:39:50.887Z,Para-ti
2024-12-02T21:39:50.903Z,Para-ti
2024-12-02T21:39:50.904Z,Nuevo
2024-12-02T21:43:44.479Z,Para-ti
2024-12-02T21:43:44.482Z,Nuevo
2024-12-02T21:44:26.143Z,Para-ti
